SUBJECT,PREHEADER,CLICKS_TO_KICKS,performance,CTR,CLICKS,OPENS,DELIVERIES,SPAMS,UNSUBS,KICKS,subject_length,length_category,reward_amount,negative_count,positive_count,has_closing_soon,has_treatment,has_cancer,has_colon,has_ampersand,has_metabolic,is_oncology,recommendations
Molecular Testing and Other Survey Opportunities,Earn up to $80.00 Today via Rewards Card,30.0,✅ Very Good (25-39),0.0573,30,295,524,0,1,1,48,Short (≤50),80.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Solid Tumors and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,29.0,✅ Very Good (25-39),0.0211,29,671,1375,0,1,1,43,Short (≤50),75.0,0,0,0,0,0,0,0,0,1,✅ ADD ampersand (&) between topics (+103% impact)
GVHD research and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,29.0,✅ Very Good (25-39),0.0694,87,537,1254,0,3,3,44,Short (≤50),60.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
hATTR amyloidosis and Other Survey Opportunities,Earn up to $70.00 Today via Rewards Card,29.0,✅ Very Good (25-39),0.0355,58,950,1635,0,2,2,48,Short (≤50),70.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Advanced Cancer Conditions and Other Survey Opportunities,Earn up to $125.00 Today via Rewards Card,28.5,✅ Very Good (25-39),0.0276,57,996,2067,0,2,2,71,Long (61-75),125.0,3,0,1,0,1,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 71)"
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $20.00 Today via Rewards Card,28.33,✅ Very Good (25-39),0.0627,935,7883,14902,0,33,33,54,Optimal (51-60),20.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: hyperphosphatemia management and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,28.0,✅ Very Good (25-39),0.0561,28,209,499,0,1,1,73,Long (61-75),60.0,2,1,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 73)"
Closing Soon: Uncontrolled gout disease and Other Survey Opportunities,Earn up to $205.00 Today via Rewards Card,27.5,✅ Very Good (25-39),0.0577,110,1092,1907,0,4,4,70,Long (61-75),205.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 70) | 💰 LOWER reward to $60-90 range (currently $205)"
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $157.50 Today via Rewards Card,27.5,✅ Very Good (25-39),0.0526,165,1676,3134,0,6,6,54,Optimal (51-60),157.5,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $158)
Study on Skin Cancer Treatment and Other Survey Opportunities,Earn up to $30.00 Today via Rewards Card,27.5,✅ Very Good (25-39),0.0651,55,347,845,0,2,2,61,Long (61-75),30.0,2,0,0,1,1,0,0,0,1,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ✅ ADD ampersand (&) between topics (+103% impact)
Closing Soon: Treatment for Transthyretin-mediated (ATTR) amyloidosis and Other Survey Opportunities,Earn up to $65.00 Today via Rewards Card,27.0,✅ Very Good (25-39),0.0241,27,513,1120,0,1,1,100,Too Long (76+),65.0,3,0,1,1,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ⚠️ Consider removing parentheses (-20% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 100)"
Closing Soon: HR+ HER2- Breast Cancer and Other Survey Opportunities,Earn up to $135.00 Today via Rewards Card,27.0,✅ Very Good (25-39),0.0325,27,393,832,0,1,1,68,Long (61-75),135.0,3,0,1,0,1,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 68) | 💰 LOWER reward to $60-90 range (currently $135)"
Study on Hematologic Malignancies and Other Survey Opportunities,Earn up to $95.00 Today via Rewards Card,27.0,✅ Very Good (25-39),0.0106,27,994,2543,0,1,1,64,Long (61-75),95.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Type 2 Diabetes and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,27.0,✅ Very Good (25-39),0.1262,27,160,214,0,1,1,46,Short (≤50),75.0,0,1,0,0,0,0,0,1,0,✅ ADD ampersand (&) between topics (+103% impact)
Short Study on Retinal Vein Occlusion and Other Survey Opportunities,Earn up to $67.50 Today via Rewards Card,27.0,✅ Very Good (25-39),0.0538,81,909,1506,0,3,3,68,Long (61-75),67.5,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 68)
Retail Pharmacist Study about Lyme disease  and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,26.8,✅ Very Good (25-39),0.0925,134,822,1449,0,5,5,74,Long (61-75),75.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 74)
Closing Soon: Lipid Disorders and Other Survey Opportunities,Earn up to $90.00 Today via Rewards Card,26.5,✅ Very Good (25-39),0.0862,53,398,615,0,2,2,60,Optimal (51-60),90.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)"
Uncontrolled gout disease and Other Survey Opportunities,Earn up to $190.00 Today via Rewards Card,26.0,✅ Very Good (25-39),0.0277,52,1015,1879,0,2,2,56,Optimal (51-60),190.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $190)
 Neurofibromatosis Study and Other Survey Opportunities,Earn up to $95.00 Today via Rewards Card,25.5,✅ Very Good (25-39),0.0175,51,1228,2915,0,2,2,55,Optimal (51-60),95.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Aesthetic Products & Procedures and Other Survey Opportunities,Earn up to $115.00 Today via Rewards Card,25.5,✅ Very Good (25-39),0.1215,255,1471,2099,0,10,10,62,Long (61-75),115.0,0,1,0,0,0,0,1,0,0,💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Treatments of Kidney Disease and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,25.0,✅ Very Good (25-39),0.082,25,188,305,0,1,1,73,Long (61-75),75.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 73)"
Neurodevelopmental Disorders and Other Survey Opportunities,Earn up to $84.00 Today via Rewards Card,25.0,✅ Very Good (25-39),0.4098,25,48,61,0,1,1,59,Optimal (51-60),84.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Pulmonary Diseases and Other Survey Opportunities,Earn up to $65.00 Today via Rewards Card,25.0,✅ Very Good (25-39),0.0413,50,680,1212,0,2,2,63,Long (61-75),65.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)"
Closing Soon: Schizophrenia and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,25.0,✅ Very Good (25-39),0.0784,50,356,638,0,2,2,58,Optimal (51-60),75.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)"
mIDH1 AML and Other Survey Opportunities,Earn up to $175.00 Today via Rewards Card,24.67,👍 Good (15-24),0.083,74,544,892,0,3,3,40,Short (≤50),175.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $175)
Closing Soon: Obesity Treatment and Other Survey Opportunities,Earn up to $40.00 Today via Rewards Card,24.5,👍 Good (15-24),0.0624,98,746,1570,0,4,4,62,Long (61-75),40.0,3,1,1,1,0,1,0,1,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact)"
New NMIBC Therapies and Other Survey Opportunities,Earn up to $30.00 Today via Rewards Card,24.33,👍 Good (15-24),0.0489,73,720,1492,0,3,3,50,Short (≤50),30.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Molecular Testing and Other Survey Opportunities,Earn up to $80.00 Today via Rewards Card,24.0,👍 Good (15-24),0.05,24,257,480,0,1,1,62,Long (61-75),80.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)"
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $142.50 Today via Rewards Card,24.0,👍 Good (15-24),0.1326,24,109,181,0,1,1,54,Optimal (51-60),142.5,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $142)
Study on Skin Cancer Treatment and Other Survey Opportunities,Earn up to $35.00 Today via Rewards Card,23.29,👍 Good (15-24),0.0456,163,1791,3573,1,6,7,61,Long (61-75),35.0,2,0,0,1,1,0,0,0,1,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ✅ ADD ampersand (&) between topics (+103% impact)
Closing Soon: Metastatic Prostate Cancer and Other Survey Opportunities,Earn up to $35.00 Today via Rewards Card,23.0,👍 Good (15-24),0.0131,46,1919,3516,0,2,2,71,Long (61-75),35.0,3,0,1,0,1,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 71)"
Understanding Your Treatment Practices for Prostate Cancer and Other Survey Opportunities,Earn up to $120.00 Today via Rewards Card,22.33,👍 Good (15-24),0.0791,67,567,847,0,3,3,89,Too Long (76+),120.0,2,0,0,1,1,0,0,0,1,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 89)
Closing Soon: Chronic Hepatitis B (CHB) treatment and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,22.2,👍 Good (15-24),0.0844,111,738,1315,0,5,5,80,Too Long (76+),60.0,3,0,1,1,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ⚠️ Consider removing parentheses (-20% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 80)"
Prostate Cancer Treatment and Other Survey Opportunities,Earn up to $180.00 Today via Rewards Card,22.0,👍 Good (15-24),0.0692,22,216,318,0,1,1,56,Optimal (51-60),180.0,2,0,0,1,1,0,0,0,1,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💰 LOWER reward to $60-90 range (currently $180)
Closing Soon: Chronic Lymphocytic Leukemia (CLL) and Other Survey Opportunities,Earn up to $55.00 Today via Rewards Card,22.0,👍 Good (15-24),0.0501,22,219,439,0,1,1,79,Too Long (76+),55.0,2,0,1,0,0,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ⚠️ Consider removing parentheses (-20% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 79)"
Closing Soon: Transthyretin Amyloidosis and Other Survey Opportunities,Earn up to $160.00 Today via Rewards Card,22.0,👍 Good (15-24),0.0209,22,492,1054,0,1,1,70,Long (61-75),160.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 70) | 💰 LOWER reward to $60-90 range (currently $160)"
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $100.00 Today via Rewards Card,22.0,👍 Good (15-24),0.042,22,257,524,0,1,1,54,Optimal (51-60),100.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Pulmonary Diseases and Other Survey Opportunities,Earn up to $65.00 Today via Rewards Card,22.0,👍 Good (15-24),0.0495,44,499,888,0,2,2,49,Short (≤50),65.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Respiratory Syncytial Virus and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,22.0,👍 Good (15-24),0.1705,22,99,129,0,1,1,72,Long (61-75),60.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 72)"
Study on Skin Cancer Treatment and Other Survey Opportunities,Earn up to $52.50 Today via Rewards Card,21.75,👍 Good (15-24),0.0302,87,1230,2877,0,4,4,61,Long (61-75),52.5,2,0,0,1,1,0,0,0,1,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REPLACE 'Cancer' with 'Oncology' or specific disease name (-47% impact) | ✅ ADD ampersand (&) between topics (+103% impact)
Closing Soon: Clinical Trial Preferences and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,21.67,👍 Good (15-24),0.0842,65,470,772,0,3,3,71,Long (61-75),75.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 71)"
 Fibromyalgia and Other Survey Opportunities,Earn up to $65.00 Today via Rewards Card,21.5,👍 Good (15-24),0.0486,43,409,885,0,2,2,44,Short (≤50),65.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $35.00 Today via Rewards Card,21.09,👍 Good (15-24),0.0667,464,3652,6955,4,18,22,54,Optimal (51-60),35.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Irritable Bowel Syndrome and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,21.0,👍 Good (15-24),0.28,21,57,75,0,1,1,69,Long (61-75),60.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 69)"
 Fibromyalgia and Other Survey Opportunities,Earn up to $40.00 Today via Rewards Card,21.0,👍 Good (15-24),0.1458,21,83,144,0,1,1,44,Short (≤50),40.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
IgA Nephropathy and Other Survey Opportunities,Earn up to $170.00 Today via Rewards Card,21.0,👍 Good (15-24),0.0463,21,239,454,0,1,1,46,Short (≤50),170.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $170)
Closing Soon: New NSCLC Patients and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,21.0,👍 Good (15-24),0.0378,21,324,555,0,1,1,63,Long (61-75),75.0,2,0,1,0,0,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact)"
ADHD - Pediatric treaters and Other Survey Opportunities,Earn up to $100.00 Today via Rewards Card,21.0,👍 Good (15-24),0.1014,21,112,207,0,1,1,56,Optimal (51-60),100.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Treatment of NSCLC and Other Survey Opportunities,Earn up to $192.50 Today via Rewards Card,20.5,👍 Good (15-24),0.0221,41,990,1858,0,2,2,63,Long (61-75),192.5,3,0,1,1,0,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💰 LOWER reward to $60-90 range (currently $192)"
Diabetes study and Other Survey Opportunities,Earn up to $112.00 Today via Rewards Card,20.0,👍 Good (15-24),0.1724,20,60,116,0,1,1,45,Short (≤50),112.0,0,1,0,0,0,0,0,1,0,✅ ADD ampersand (&) between topics (+103% impact)
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $70.00 Today via Rewards Card,20.0,👍 Good (15-24),0.0926,20,129,216,0,1,1,54,Optimal (51-60),70.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Lymphoma Treatments and Other Survey Opportunities,Earn up to $145.00 Today via Rewards Card,19.73,👍 Good (15-24),0.049,434,4482,8860,1,21,22,50,Short (≤50),145.0,0,0,0,0,0,0,0,0,1,✅ ADD ampersand (&) between topics (+103% impact) | 💰 LOWER reward to $60-90 range (currently $145)
Closing Soon: Experience With Highmark BC Insurance and Other Survey Opportunities,Earn up to $25.00 Today via Rewards Card,19.5,👍 Good (15-24),0.0289,78,1426,2697,0,4,4,82,Too Long (76+),25.0,2,1,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 82)"
Closing Soon: Experience With Highmark BC Insurance and Other Survey Opportunities,Earn up to $40.00 Today via Rewards Card,19.5,👍 Good (15-24),0.0325,39,511,1199,0,2,2,82,Too Long (76+),40.0,2,1,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 82)"
Hyperlipidemia and Other Survey Opportunities,Earn up to $162.50 Today via Rewards Card,19.0,👍 Good (15-24),0.1759,19,78,108,0,1,1,45,Short (≤50),162.5,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 💰 LOWER reward to $60-90 range (currently $162)
Preeclampsia Treatment and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,19.0,👍 Good (15-24),0.0868,19,127,219,0,1,1,53,Optimal (51-60),75.0,1,0,0,1,0,0,0,0,0,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
New Product Profile Evaluation & Feedback and Other Survey Opportunities,Earn up to $35.00 Today via Rewards Card,19.0,👍 Good (15-24),0.0198,95,2170,4791,0,5,5,72,Long (61-75),35.0,0,1,0,0,0,0,1,0,0,💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 72)
Hidradenitis suppurativa (HS) and Other Survey Opportunities,Earn up to $20.00 Today via Rewards Card,19.0,👍 Good (15-24),0.0766,19,159,248,1,0,1,60,Optimal (51-60),20.0,0,0,0,0,0,0,0,0,0,⚠️ Consider removing parentheses (-20% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Treatment of high-risk NMIBC Patients and Other Survey Opportunities,Earn up to $30.00 Today via Rewards Card,18.67,👍 Good (15-24),0.0279,56,1020,2006,0,3,3,68,Long (61-75),30.0,1,0,0,1,0,0,0,0,0,❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 68)
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $75.00 Today via Rewards Card,18.59,👍 Good (15-24),0.0268,1004,17818,37469,3,51,54,54,Optimal (51-60),75.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Treatment of cardiovascular conditions and Other Survey Opportunities,Earn up to $70.00 Today via Rewards Card,18.5,👍 Good (15-24),0.0418,37,389,885,0,2,2,83,Too Long (76+),70.0,3,0,1,1,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact) | 📏 SHORTEN to 50-65 chars (currently 83)"
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $10.00 Today via Rewards Card,18.43,👍 Good (15-24),0.0735,774,5234,10529,4,38,42,54,Optimal (51-60),10.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $60.00 Today via Rewards Card,18.19,👍 Good (15-24),0.0661,291,2253,4404,1,15,16,54,Optimal (51-60),60.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
New InCrowd MicroSurvey and Other Survey Opportunities,Earn up to $90.00 Today via Rewards Card,18.0,👍 Good (15-24),0.0445,558,6197,12540,1,30,31,54,Optimal (51-60),90.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
GVHD research and Other Survey Opportunities,Earn up to $115.00 Today via Rewards Card,18.0,👍 Good (15-24),0.0237,18,344,761,0,1,1,44,Short (≤50),115.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: Understanding your treatment of Solid Tumors and Other Survey Opportunities,Earn up to $270.00 Today via Rewards Card,18.0,👍 Good (15-24),0.0187,18,507,965,0,1,1,89,Too Long (76+),270.0,3,0,1,1,0,1,0,0,1,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REPLACE 'Treatment' with 'Medications'/'Managing' (-40% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 📏 SHORTEN to 50-65 chars (currently 89) | 💰 LOWER reward to $60-90 range (currently $270)"
Geographic Atrophy and Other Survey Opportunities,Earn up to $30.00 Today via Rewards Card,18.0,👍 Good (15-24),0.0471,36,431,765,0,2,2,49,Short (≤50),30.0,0,0,0,0,0,0,0,0,0,✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)
Closing Soon: HNSCC and Other Survey Opportunities,Earn up to $115.00 Today via Rewards Card,17.43,👍 Good (15-24),0.0219,122,2482,5561,0,7,7,50,Short (≤50),115.0,2,0,1,0,0,1,0,0,0,"❌ REMOVE 'Closing Soon' (-29% impact) | ❌ REMOVE colon structure, use '&' or 'and' (-30% impact) | ✅ ADD ampersand (&) between topics (+103% impact) | 💡 Consider adding metabolic topics when available (+109% impact)"
Glioma - Brain Tumors and Other Survey Opportunities,Earn up to $175.00 Today via Rewards Card,17.38,👍 Good (15-24),0.1009,139,853,1378,0,8,8,52,Optimal (51-60),175.0,0,0,0,0,0,0,0,0,1,✅ ADD ampersand (&) between topics (+103% impact) | 💰 LOWER reward to $60-90 range (currently $175)
